outlook,temperature,humidity,windy,play
sunny,hot,high,f,no
sunny,hot,high,t,no
overcast,hot,high,f,yes
rainy,mild,high,f,yes
rainy,cool,normal,f,yes
rainy,cool,normal,t,no
overcast,cool,normal,t,no
sunny,mild,high,f,no
sunny,cool,normal,f,yes
rainy,mild,normal,f,yes
sunny,mild,normal,t,no
overcast,mild,high,t,yes
overcast,mild,normal,f,yes
rainy,mild,high,t,no
rainy,mild,high,f,yes
rainy,cool,normal,f,yes
rainy,cool,normal,t,no
overcast,mild,normal,t,yes
sunny,mild,normal,f,no
sunny,cool,normal,f,no
rainy,mild,normal,f,yes
sunny,mild,normal,t,yes
overcast,mild,high,t,yes
overcast,hot,high,f,yes
rainy,cool,high,t,no
sunny,hot,high,t,no
overcast,hot,high,f,yes
rainy,cool,high,f,yes
sunny,hot,high,f,yes
rainy,mild,high,f,yes
sunny,cool,normal,f,yes
rainy,cool,normal,t,no
sunny,cool,high,t,no
overcast,mild,high,f,no
overcast,cool,normal,f,yes
